rank,model,mAP@50-95,mAP@50,precision,recall,preprocess (ms),inference (ms),postprocess (ms),total_ms/img
1,adamw_lr0_001_imghigh,0.2596,0.4414,0.5554,0.4572,2.518,1.851,1.255,5.624
2,imgsize_high,0.2593,0.4389,0.5589,0.4462,2.574,1.811,1.171,5.557
3,data_aug_imghigh,0.258,0.4377,0.5514,0.4478,2.519,1.819,1.296,5.635
4,cosine_lr_imghigh,0.255,0.4324,0.549,0.4465,2.549,1.815,1.138,5.501
5,imgsize_high_more_epochs,0.2538,0.432,0.557,0.4437,2.578,1.812,1.132,5.522
6,imghigh_epoch_20,0.2511,0.4266,0.5379,0.4391,2.533,1.797,1.423,5.755
7,adamw_lr0_001,0.18,0.3168,0.4443,0.3497,0.669,0.478,4.068,5.215
8,data_aug,0.1797,0.3165,0.4511,0.3521,0.669,0.482,3.279,4.43
9,yolov9,0.1764,0.3111,0.4396,0.3479,0.661,0.634,4.2,5.495
10,baseline,0.176,0.312,0.4495,0.3467,0.667,0.483,4.389,5.538
11,yolov10,0.1759,0.3121,0.4312,0.3512,0.678,0.563,0.122,1.363
12,yolov8,0.1737,0.3064,0.4513,0.336,0.656,0.455,4.245,5.355
